trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
333,False,"{'a': 0.9, 'e': 0.1675}",25,11,27.656454657580568,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.9, 'e': 0.165}",25,13,20.884838086632055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.9, 'e': 0.1625}",20,14,11.926611805818968,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.9, 'e': 0.16}",25,7,31.049875475496357,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.9, 'e': 0.1575}",20,11,17.761850605975688,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.9, 'e': 0.155}",30,18,22.11800072350467,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.9, 'e': 0.1525}",30,19,15.88187576276337,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.9, 'e': 0.15}",30,19,21.126642458500193,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.9, 'e': 0.1475}",20,0,29.30524452679472,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
342,False,"{'a': 0.9, 'e': 0.145}",20,8,22.644831481089575,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.9, 'e': 0.1425}",30,12,29.39608730588482,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.9, 'e': 0.14}",25,15,18.697089295383,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.9, 'e': 0.1375}",25,18,11.155158361081378,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.9, 'e': 0.135}",35,18,33.97222142260233,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.9, 'e': 0.1325}",25,9,26.260179719821384,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.9, 'e': 0.13}",25,8,27.419816211379526,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.9, 'e': 0.1275}",25,12,25.980868825002673,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.9, 'e': 0.125}",25,13,20.10051018331245,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.9, 'e': 0.1225}",25,6,39.89797612718548,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.9, 'e': 0.12}",25,13,20.404740709968458,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.9, 'e': 0.1175}",20,8,22.23541913766271,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
